feature,importance,importance_pct
strike_rate,0.6892027405846644,68.92
wickets_taken,0.136378122107083,13.64
runs_scored,0.07077741118541256,7.08
economy_rate,0.05589972697998558,5.59
dot_ball_percentage,0.030111099995822156,3.01
boundaries,0.017598574987816383,1.76
wickets_lost,9.695424036357484e-06,0.0
pressure_index,9.367350909104107e-06,0.0
required_run_rate,8.335101893814818e-06,0.0
match_phase_death,1.7841876030344866e-06,0.0
match_phase_powerplay,1.769474486152152e-06,0.0
match_phase_middle,1.3726202877893343e-06,0.0
